标题,发布机构,发布时间,政策类别,关键词,摘要,原文链接
《网络安全审查办法》,"商务部,国家市场监督管理总局,国家互联网信息办公室,国家安全部,国家广播电视总局,中国证券监督管理委员会,工业和信息化部,国家保密局,国家密码管理局,国家发展和改革委员会,中国人民银行,财政部,公安部",2020-04,政策规划,"大型数据库,网络安全设备,云计算服务",【国家互联网信息办公室等十三部门修订发布《网络安全审查办法》】《办法》将网络平台运营者开展数据处理活动影响或者可能影响国家安全等情形纳入网络安全审查，并明确掌握超过100万用户个人信息的网络平台运营者赴国外上市必须向网络安全审查办公室申报网络安全审查。,http://www.gov.cn/gongbao/content/2020/content_5522548.htm
《金融科技发展规划(2022-2025年)》,中国人民银行,2022-01,政策规划,"金融数字化转型,金融科技治理,科技成果转化",中国人民银行印发《金融科技发展规划（2022-2025年）》（以下简称《规划》）。《规划》依据《中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要》制定，提出新时期金融科技发展指导意见，明确金融数字化转型的总体思路|发展目标|重点任务和实施保障。,http://www.china-cer.com.cn/guwen/2022010516303.html
中共中央办公厅、国务院办公厅印发《关于加强科技伦理治理的意见》,"中共中央办公厅,国务院办公厅",2022-03,政策规划,"伦理先行,依法依规,敏捷治理,立足国情,开放合作",新华社北京3月20日电  近日，中共中央办公厅、国务院办公厅印发了《关于加强科技伦理治理的意见》，并发出通知，要求各地区各部门结合实际认真贯彻落实。,https://mp.weixin.qq.com/s/xU73onKBfpX85YMoz6-YRQ
中华人民共和国消费者权益保护法,全国人民代表大会常务委员会,2016-03,法律法规,"消费者合法权益, 消费者组织",1993年10月31日第八届全国人民代表大会常务委员会第四次会议通过 根据2009年8月27日第十一届全国人民代表大会常务委员会第十次会议《关于修改部分法律的决定》第一次修正 根据2013年10月25日第十二届全国人民代表大会常务委员会第五次会议《关于修改的决定》第二次修正,https://www.lawtime.cn/faguizt/117.html
中华人民共和国电子商务法,全国人民代表大会常务委员会,2018-08,法律法规,"电子商务,法律责任","第一条　为了保障电子商务各方主体的合法权益，规范电子商务行为，维护市场秩序，促进电子商务持续健康发展，制定本法。

　　第二条　中华人民共和国境内的电子商务活动，适用本法。

　　本法所称电子商务，是指通过互联网等信息网络销售商品或者提供服务的经营活动。

　　法律、行政法规对销售商品或者提供服务有规定的，适用其规定。金融类产品和服务，利用信息网络提供新闻信息、音视频节目、出版以及文化产品等内容方面的服务，不适用本法。",http://www.jzrb.com/zhuanti2020/wlbypt/flfg/202004/724671.html
中华人民共和国网络安全法,全国人民代表大会常务委员会,2016-11,法律法规,"网络信息安全 , 法律责任 , 网络运行安全","《中华人民共和国网络安全法》是为保障网络安全，维护网络空间主权和国家安全、社会公共利益，保护公民、法人和其他组织的合法权益，促进经济社会信息化健康发展而制定的法律。

《中华人民共和国网络安全法》由中华人民共和国第十二届全国人民代表大会常务委员会第二十四次会议于2016年11月7日通过，自2017年6月1日起施行。",https://baike.so.com/doc/24210940-24838928.html
五部门关于印发《智能光伏产业创新发展行动计划（2021-2025年）》的通知,"交通运输部,农业农村部,国家能源局,工业和信息化部,住房和城乡建设部",2022-01,政策规划,"光伏产业,半导体技术,新能源需求,智慧能源,智能运维产品",光伏产业是基于半导体技术和新能源需求而融合发展|快速兴起的朝阳产业，也是实现制造强国和能源革命的重大关键领域。为推动光伏产业与新一代信息技术深度融合，加快实现智能制造|智能应用|智能运维|智能调度，全面提升我国光伏产业发展质量和效率，推动实现2030年碳达峰|2060年碳中和目标，制定本行动计划。,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2022/art_de86b26087844ebab5e886e954ca1453.html
人民银行关于印发《中国人民银行金融消费者权益保护实施办法》的通知,中国人民银行,2016-12,政策规划,"消费者权益保护,风险承受等级","中国人民银行上海总部，各分行、营业管理部，各省会（首府）城市中心支行，各副省级城市中心支行；各国有商业银行、股份制商业银行，中国邮政储蓄银行；中国银联：

为贯彻落实《国务院办公厅关于加强金融消费者权益保护工作的指导意见》（国办发〔2015〕81号），进一步规范金融机构行为，切实保障金融消费者合法权益，中国人民银行制定了《中国人民银行金融消费者权益保护实施办法》，现印发给你们，请遵照执行。执行过程中遇到新情况、新问题，请及时告知中国人民银行金融消费权益保护局。

请中国人民银行上海总部，各分行、营业管理部，各省会（首府）城市中心支行，各副省级城市中心支行将本通知转发至辖区内有关金融机构、非银行支付机构和征信机构。",http://www.gov.cn/gongbao/content/2017/content_5213211.htm
关于印发《常见类型移动互联网应用程序必要个人信息范围规定》的通知,"国家市场监督管理总局,国家互联网信息办公室,工业和信息化部,公安部",2021-03,政策规划,"网络运营 , 个人信息, 个人信息行为","为贯彻落实《中华人民共和国网络安全法》关于“网络运营者收集、使用个人信息，应当遵循合法、正当、必要的原则”“网络运营者不得收集与其提供的服务无关的个人信息”等规定，国家互联网信息办公室、工业和信息化部、公安部、国家市场监督管理总局联合制定了《常见类型移动互联网应用程序必要个人信息范围规定》，明确移动互联网应用程序（App）运营者不得因用户不同意收集非必要个人信息，而拒绝用户使用App基本功能服务。

现将《常见类型移动互联网应用程序必要个人信息范围规定》印发给你们，请指导督促本地区App运营者抓紧落实，并加强监督检查，及时调查、处理违法违规收集使用个人信息行为，切实维护公民在网络空间的合法权益。",http://www.cac.gov.cn/2021-03/22/c_1617990997054277.htm
关于审理使用人脸识别技术处理个人信息相关民事案件适用法律若干问题的规定【 法释〔2021〕15号】,最高人民法院审判委员会,2021-06,法律法规,"人脸识别技术,人脸信息,,生物识别信息",为正确审理使用人脸识别技术处理个人信息相关民事案件，保护当事人合法权益，促进数字经济健康发展，根据《中华人民共和国民法典》《中华人民共和国网络安全法》《中华人民共和国消费者权益保护法》《中华人民共和国电子商务法》《中华人民共和国民事诉讼法》等法律的规定，结合审判实践，制定本规定。,https://www.163.com/dy/article/H10M3T690552KSEM.html
工业和信息化部关于开展纵深推进APP侵害用户权益专项整治行动的通知,工业和信息化部,2020-07,政策规划,"技管结合,个人用户信息",按照2020年信息通信行业行风建设暨纠风工作部署，为切实加强用户个人信息保护，为人民群众提供更安全、更健康、更干净的信息环境，我部决定开展纵深推进APP侵害用户权益专项整治行动。专项整治时间为通知印发之日至2020年12月10日。,http://www.cac.gov.cn/2020-07/28/c_1597492913060262.htm
建设现代流通体系 强化国内国际双循环支撑,国家发展改革委,2022-02,政策规划,"新型产销体系,安全监管,数据共享",近日，国务院批复同意《十四五现代流通体系建设规划》（以下简称《规划》），并对组织实施和重点任务作出明确指示，国家发展改革委也已正式印发《规划》。作为我国第一部流通领域国家级发展建设规划，《规划》从完善市场体系，加强商贸流通体系、物流体系和交通承载能力以及完善金融服务和信用体系等三个维度、六个方面对现代流通体系建设进行总体规划部署，并对组织实施和政策支撑作出指导，为“十四五”时期加强现代流通体系建设勾画出全景图。,https://www.ndrc.gov.cn/fzggw/jgsj/zys/sjdt/202202/t20220207_1314389.html?code=&state=123
抖音关于升级谣言专项治理的公告,北京字节跳动科技有限公司,2022-03,伦理规范,"网络谣言,禁言,封禁,社会热点,专项整治",一直以来，抖音平台高度重视网络谣言的打击治理，建立了谣言发现、识别、打击全流程工作机制，开辟“辟谣专区”，深入联动权威机构、专业领域创作者开展辟谣工作。近期，在疫情、东航坠机等社会热点事件中，造谣、传谣数次出现，抖音平台升级对谣言的专项打击治理。,https://www.360kuai.com/pc/9134aba3fafd08b1b?cota=3&kuai_so=1&sign=360_57c3bbd1&refer_scene=so_1
浙江省公共数据条例,浙江省人民代表大会常务委员会,2022-02,政策规划,"公共数据平台,公共数据共享,公共数据安全,法律责任","第一章　总则

第一条　为了加强公共数据管理，促进公共数据应用创新，保护自然人、法人和非法人组织合法权益，保障数字化改革，深化数字浙江建设，推进省域治理体系和治理能力现代化，根据有关法律、行政法规，结合本省实际，制定本条例。

第二条　本省行政区域内公共数据收集、归集、存储、加工、传输、共享、开放、利用等数据处理活动，以及公共数据安全等管理活动，适用本条例。

涉及国家秘密的公共数据及相关处理活动，不纳入本条例管理，按照有关法律、法规的规定执行。

第三条　本条例所称公共数据，是指本省国家机关、法律法规规章授权的具有管理公共事务职能的组织以及供水、供电、供气、公共交通等公共服务运营单位(以下统称公共管理和服务机构)，在依法履行职责或者提供公共服务过程中收集、产生的数据。

根据本省应用需求，税务、海关、金融监督管理等国家有关部门派驻浙江管理机构提供的数据，属于本条例所称公共数据。

第四条　公共数据发展和管理工作坚持中国共产党的领导，遵循统筹规划、依法有序、分类分级、安全可控的原则。

第五条　县级以上人民政府应当将公共数据发展和管理工作纳入国民经济和社会发展规划以及数字政府建设等相关专项规划，建立健全工作协调机制，完善政策措施，保障公共数据发展和管理工作所需经费。

县级以上人民政府应当建立健全公共数据发展和管理工作考核评价机制，将公共数据发展和管理工作作为年度政府目标责任制考核的重要内容。",http://www.zj.gov.cn/art/2022/2/10/art_1229005922_2392473.html
网络安全标准实践指南—移动互联网应用程序（App）收集使用个人信息自评估指南（征求意见稿）,全国信息安全标准化技术委员会秘书处,2020-03,政策规划,"网络信息安全, 隐私政策消费者权益保护法",2016年 《网络安全法》 颁布，明确我国 网络安全 保护的基本要求和制度，并将 个人信息 保护问题作为 网络信息安全 的重要内容予以规定。 App 运营者作为典型的网络运营者，在其收集、使用 个人信息 时，应当遵守 《网络安全法》 等法律法规有关 个人信息 保护的要求。2019年1月，中央网信办、工业和信息化部、公安部、市场监管总局发布《关于开展 App 违法违规收集使用 个人信息 专项治理的公告》，公告中指出，由全国信息安全标准化技术委员会、中国消费者协会、中国 互联网 协会、中国网络空间安全协会，依据法律法规和国家相关标准，编制大众化应用基本业务功能及必要信息规范、 App 违法违规收集使用 个人信息 治理评估要点，组织相关专业机构，对用户数量大、与民众生活密切相关的 App 政策和个人 信息收集 使用情况进行评估。2019年3月1日， App 专项治理工作组结合2017年和2018年“ 隐私 条款专项评审”等工作经验，对外发布第一版《App违法违规收集使用个人信息自评估指南》技术文件，提出评估点，以便于指导App运营者自查自纠。2019年12月30日，中央网信办、工信部、公安部、市场监管总局联合制定的《 App 违法违规收集使用 个人信息 行为认定方法》正式发布，认定方法的内容结合了一年来关于 App 违法违规收集使用 个人信息 检测评估工作的经验和规律，为监督管理部门认定 App 违法违规收集使用 个人信息 行为提供参考，为 App 运营者自查自纠和网民社会监督提供指引。,https://www.sohu.com/a/381614895_653604
航空5G机场场面宽带移动通信系统建设应用实施方案（2022-2025）,中国民用航空局,2022-01,政策规划,"智慧民航建设,民航5G应用生态系统","航空5G机场场面宽带移动通信系统（以下简称5G AeroMACS ） 是将具有低时延、高可靠、大带宽特性的第五代移动通信技术（5G） 应用于AeroMACS民航专用网络，在民用机场范围内，使用 5091-5150MHZ航空专用频率，符合国际民航组织航空安全通信等级要 求的新一代航空宽带通信技术。
民航局在《中国民航新一代航空宽带通信技术路线图》中明确提 出，要大力推进新一代航空宽带通信的应用，建设公用、专用相结合 的民航5G网络，积极构建国际一流的现代化民航通信基础设施体系， 助力智慧民航运输系统的建设与运行.到2025年底，完成基于5G AeroMACS技术“机-车-场道-设施”协同运行应用示范并在行业推广， 深化新一代航空宽带通信系统在民航各领域典型应用示范•
为进一步统筹明确民航领域5G AeroMACS发展路径和重点工作， 推动以5G为核心的新一代航空宽带通信系统协同发展和全面应用，促 进民航高质量发展，根据《中国民航新一代航空宽带通信技术路线图》, 制定本方案。",http://www.gov.cn/zhengce/zhengceku/2022-01/22/content_5669846.htm
贯彻落实网络安全等级保护制度和关键信息基础设施安全保护制度的指导意见,公安部,2021-05,政策规划,"网络安全等级保护制度,国家关键信息,网络安全法",网络安全等级保护制度和关键信息基础设施安全保护制度是党中央有关文件和《网络安全法》确定的基本制度。近年来，各单位、各部门按照中央网络安全政策要求和《网络安全法》等法律法规规定，全面加强网络安全工作，有力保障了国家关键信息基础设施、重要网络和数据安全。但随着信息技术飞速发展，网络安全工作仍面临一些新形势、新任务和新挑战。为深入贯彻落实网络安全等级保护制度和关键信息基础设施安全保护制度，健全完善国家网络安全综合防控体系，有效防范网络安全威胁，有力处置网络安全事件，严厉打击危害网络安全的违法犯罪活动，切实保障国家网络安全，特制定以下指导意见。,https://www.scxsls.com/knowledge/detail/155277
中华人民共和国密码法（2019年10月26日第十三届全国人民代表大会常务委员会第十四次会议通过 ）,国家互联网信息办公室,2019-10,法律法规,"密码,安全,隐私,网络","第一条　为了规范密码应用和管理，促进密码事业发展，保障网络与信息安全，维护国家安全和社会公共利益，保护公民、法人和其他组织的合法权益，制定本法。

　　第二条　本法所称密码，是指采用特定变换的方法对信息等进行加密保护、安全认证的技术、产品和服务。

　　第三条　密码工作坚持总体国家安全观，遵循统一领导、分级负责，创新发展、服务大局，依法管理、保障安全的原则。

　　第四条　坚持中国共产党对密码工作的领导。中央密码工作领导机构对全国密码工作实行统一领导，制定国家密码工作重大方针政策，统筹协调国家密码重大事项和重要工作，推进国家密码法治建设。

　　第五条　国家密码管理部门负责管理全国的密码工作。县级以上地方各级密码管理部门负责管理本行政区域的密码工作。

　　国家机关和涉及密码工作的单位在其职责范围内负责本机关、本单位或者本系统的密码工作。

　　第六条　国家对密码实行分类管理。

　　密码分为核心密码、普通密码和商用密码。

　　第七条　核心密码、普通密码用于保护国家秘密信息，核心密码保护信息的最高密级为绝密级，普通密码保护信息的最高密级为机密级。

　　核心密码、普通密码属于国家秘密。密码管理部门依照本法和有关法律、行政法规、国家有关规定对核心密码、普通密码实行严格统一管理。

　　第八条　商用密码用于保护不属于国家秘密的信息。

　　公民、法人和其他组织可以依法使用商用密码保护网络与信息安全。

　　第九条　国家鼓励和支持密码科学技术研究和应用，依法保护密码领域的知识产权，促进密码科学技术进步和创新。

　　国家加强密码人才培养和队伍建设，对在密码工作中作出突出贡献的组织和个人，按照国家有关规定给予表彰和奖励。

　　第十条　国家采取多种形式加强密码安全教育，将密码安全教育纳入国民教育体系和公务员教育培训体系，增强公民、法人和其他组织的密码安全意识。

　　第十一条　县级以上人民政府应当将密码工作纳入本级国民经济和社会发展规划，所需经费列入本级财政预算。

　　第十二条　任何组织或者个人不得窃取他人加密保护的信息或者非法侵入他人的密码保障系统。

　　任何组织或者个人不得利用密码从事危害国家安全、社会公共利益、他人合法权益等违法犯罪活动。

第二章　核心密码、普通密码

　　第十三条　国家加强核心密码、普通密码的科学规划、管理和使用，加强制度建设，完善管理措施，增强密码安全保障能力。

　　第十四条　在有线、无线通信中传递的国家秘密信息，以及存储、处理国家秘密信息的信息系统，应当依照法律、行政法规和国家有关规定使用核心密码、普通密码进行加密保护、安全认证。

　　第十五条　从事核心密码、普通密码科研、生产、服务、检测、装备、使用和销毁等工作的机构(以下统称密码工作机构)应当按照法律、行政法规、国家有关规定以及核心密码、普通密码标准的要求，建立健全安全管理制度，采取严格的保密措施和保密责任制，确保核心密码、普通密码的安全。

　　第十六条　密码管理部门依法对密码工作机构的核心密码、普通密码工作进行指导、监督和检查，密码工作机构应当配合。

　　第十七条　密码管理部门根据工作需要会同有关部门建立核心密码、普通密码的安全监测预警、安全风险评估、信息通报、重大事项会商和应急处置等协作机制，确保核心密码、普通密码安全管理的协同联动和有序高效。

　　密码工作机构发现核心密码、普通密码泄密或者影响核心密码、普通密码安全的重大问题、风险隐患的，应当立即采取应对措施，并及时向保密行政管理部门、密码管理部门报告，由保密行政管理部门、密码管理部门会同有关部门组织开展调查、处置，并指导有关密码工作机构及时消除安全隐患。

　　第十八条　国家加强密码工作机构建设，保障其履行工作职责。

　　国家建立适应核心密码、普通密码工作需要的人员录用、选调、保密、考核、培训、待遇、奖惩、交流、退出等管理制度。

　　第十九条　密码管理部门因工作需要，按照国家有关规定，可以提请公安、交通运输、海关等部门对核心密码、普通密码有关物品和人员提供免检等便利，有关部门应当予以协助。

　　第二十条　密码管理部门和密码工作机构应当建立健全严格的监督和安全审查制度，对其工作人员遵守法律和纪律等情况进行监督，并依法采取必要措施，定期或者不定期组织开展安全审查。

第三章　商用密码

　　第二十一条　国家鼓励商用密码技术的研究开发、学术交流、成果转化和推广应用，健全统一、开放、竞争、有序的商用密码市场体系，鼓励和促进商用密码产业发展。

　　各级人民政府及其有关部门应当遵循非歧视原则，依法平等对待包括外商投资企业在内的商用密码科研、生产、销售、服务、进出口等单位(以下统称商用密码从业单位)。国家鼓励在外商投资过程中基于自愿原则和商业规则开展商用密码技术合作。行政机关及其工作人员不得利用行政手段强制转让商用密码技术。

　　商用密码的科研、生产、销售、服务和进出口，不得损害国家安全、社会公共利益或者他人合法权益。

　　第二十二条　国家建立和完善商用密码标准体系。

　　国务院标准化行政主管部门和国家密码管理部门依据各自职责，组织制定商用密码国家标准、行业标准。

　　国家支持社会团体、企业利用自主创新技术制定高于国家标准、行业标准相关技术要求的商用密码团体标准、企业标准。

　　第二十三条　国家推动参与商用密码国际标准化活动，参与制定商用密码国际标准，推进商用密码中国标准与国外标准之间的转化运用。

　　国家鼓励企业、社会团体和教育、科研机构等参与商用密码国际标准化活动。

　　第二十四条　商用密码从业单位开展商用密码活动，应当符合有关法律、行政法规、商用密码强制性国家标准以及该从业单位公开标准的技术要求。

　　国家鼓励商用密码从业单位采用商用密码推荐性国家标准、行业标准，提升商用密码的防护能力，维护用户的合法权益。

　　第二十五条　国家推进商用密码检测认证体系建设，制定商用密码检测认证技术规范、规则，鼓励商用密码从业单位自愿接受商用密码检测认证，提升市场竞争力。

　　商用密码检测、认证机构应当依法取得相关资质，并依照法律、行政法规的规定和商用密码检测认证技术规范、规则开展商用密码检测认证。

　　商用密码检测、认证机构应当对其在商用密码检测认证中所知悉的国家秘密和商业秘密承担保密义务。

　　第二十六条　涉及国家安全、国计民生、社会公共利益的商用密码产品，应当依法列入网络关键设备和网络安全专用产品目录，由具备资格的机构检测认证合格后，方可销售或者提供。商用密码产品检测认证适用《中华人民共和国网络安全法》的有关规定，避免重复检测认证。

　　商用密码服务使用网络关键设备和网络安全专用产品的，应当经商用密码认证机构对该商用密码服务认证合格。

　　第二十七条　法律、行政法规和国家有关规定要求使用商用密码进行保护的关键信息基础设施，其运营者应当使用商用密码进行保护，自行或者委托商用密码检测机构开展商用密码应用安全性评估。商用密码应用安全性评估应当与关键信息基础设施安全检测评估、网络安全等级测评制度相衔接，避免重复评估、测评。

　　关键信息基础设施的运营者采购涉及商用密码的网络产品和服务，可能影响国家安全的，应当按照《中华人民共和国网络安全法》的规定，通过国家网信部门会同国家密码管理部门等有关部门组织的国家安全审查。

　　第二十八条　国务院商务主管部门、国家密码管理部门依法对涉及国家安全、社会公共利益且具有加密保护功能的商用密码实施进口许可，对涉及国家安全、社会公共利益或者中国承担国际义务的商用密码实施出口管制。商用密码进口许可清单和出口管制清单由国务院商务主管部门会同国家密码管理部门和海关总署制定并公布。

　　大众消费类产品所采用的商用密码不实行进口许可和出口管制制度。

　　第二十九条　国家密码管理部门对采用商用密码技术从事电子政务电子认证服务的机构进行认定，会同有关部门负责政务活动中使用电子签名、数据电文的管理。

　　第三十条　商用密码领域的行业协会等组织依照法律、行政法规及其章程的规定，为商用密码从业单位提供信息、技术、培训等服务，引导和督促商用密码从业单位依法开展商用密码活动，加强行业自律，推动行业诚信建设，促进行业健康发展。

　　第三十一条　密码管理部门和有关部门建立日常监管和随机抽查相结合的商用密码事中事后监管制度，建立统一的商用密码监督管理信息平台，推进事中事后监管与社会信用体系相衔接，强化商用密码从业单位自律和社会监督。

　　密码管理部门和有关部门及其工作人员不得要求商用密码从业单位和商用密码检测、认证机构向其披露源代码等密码相关专有信息，并对其在履行职责中知悉的商业秘密和个人隐私严格保密，不得泄露或者非法向他人提供。

第四章　法律责任

　　第三十二条　违反本法第十二条规定，窃取他人加密保护的信息，非法侵入他人的密码保障系统，或者利用密码从事危害国家安全、社会公共利益、他人合法权益等违法活动的，由有关部门依照《中华人民共和国网络安全法》和其他有关法律、行政法规的规定追究法律责任。

　　第三十三条　违反本法第十四条规定，未按照要求使用核心密码、普通密码的，由密码管理部门责令改正或者停止违法行为，给予警告；情节严重的，由密码管理部门建议有关国家机关、单位对直接负责的主管人员和其他直接责任人员依法给予处分或者处理。

　　第三十四条　违反本法规定，发生核心密码、普通密码泄密案件的，由保密行政管理部门、密码管理部门建议有关国家机关、单位对直接负责的主管人员和其他直接责任人员依法给予处分或者处理。

　　违反本法第十七条第二款规定，发现核心密码、普通密码泄密或者影响核心密码、普通密码安全的重大问题、风险隐患，未立即采取应对措施，或者未及时报告的，由保密行政管理部门、密码管理部门建议有关国家机关、单位对直接负责的主管人员和其他直接责任人员依法给予处分或者处理。

　　第三十五条　商用密码检测、认证机构违反本法第二十五条第二款、第三款规定开展商用密码检测认证的，由市场监督管理部门会同密码管理部门责令改正或者停止违法行为，给予警告，没收违法所得；违法所得三十万元以上的，可以并处违法所得一倍以上三倍以下罚款；没有违法所得或者违法所得不足三十万元的，可以并处十万元以上三十万元以下罚款；情节严重的，依法吊销相关资质。

　　第三十六条　违反本法第二十六条规定，销售或者提供未经检测认证或者检测认证不合格的商用密码产品，或者提供未经认证或者认证不合格的商用密码服务的，由市场监督管理部门会同密码管理部门责令改正或者停止违法行为，给予警告，没收违法产品和违法所得；违法所得十万元以上的，可以并处违法所得一倍以上三倍以下罚款；没有违法所得或者违法所得不足十万元的，可以并处三万元以上十万元以下罚款。

　　第三十七条　关键信息基础设施的运营者违反本法第二十七条第一款规定，未按照要求使用商用密码，或者未按照要求开展商用密码应用安全性评估的，由密码管理部门责令改正，给予警告；拒不改正或者导致危害网络安全等后果的，处十万元以上一百万元以下罚款，对直接负责的主管人员处一万元以上十万元以下罚款。

　　关键信息基础设施的运营者违反本法第二十七条第二款规定，使用未经安全审查或者安全审查未通过的产品或者服务的，由有关主管部门责令停止使用，处采购金额一倍以上十倍以下罚款；对直接负责的主管人员和其他直接责任人员处一万元以上十万元以下罚款。

　　第三十八条　违反本法第二十八条实施进口许可、出口管制的规定，进出口商用密码的，由国务院商务主管部门或者海关依法予以处罚。

　　第三十九条　违反本法第二十九条规定，未经认定从事电子政务电子认证服务的，由密码管理部门责令改正或者停止违法行为，给予警告，没收违法产品和违法所得；违法所得三十万元以上的，可以并处违法所得一倍以上三倍以下罚款；没有违法所得或者违法所得不足三十万元的，可以并处十万元以上三十万元以下罚款。

　　第四十条　密码管理部门和有关部门、单位的工作人员在密码工作中滥用职权、玩忽职守、徇私舞弊，或者泄露、非法向他人提供在履行职责中知悉的商业秘密和个人隐私的，依法给予处分。

　　第四十一条　违反本法规定，构成犯罪的，依法追究刑事责任；给他人造成损害的，依法承担民事责任。

第五章　附　　则

　　第四十二条　国家密码管理部门依照法律、行政法规的规定，制定密码管理规章。

　　第四十三条　中国人民解放军和中国人民武装警察部队的密码工作管理办法，由中央军事委员会根据本法制定。

　　第四十四条　本法自2020年1月1日起施行。",http://www.cac.gov.cn/2019-10/27/c_1573711980953641.htm
